Offer                                        Publisher                         Sku                                             Urn                                                                                                                     Version
cis-centos-8-l1                              center-for-internet-security-inc  cis-centos8-l1                                  center-for-internet-security-inc:cis-centos-8-l1:cis-centos8-l1:1.0.12                                                  1.0.12
cis-nginx-centos-7-v1-1-0-l1                 center-for-internet-security-inc  cis-nginx-centos7-l1                            center-for-internet-security-inc:cis-nginx-centos-7-v1-1-0-l1:cis-nginx-centos7-l1:1.1.15                               1.1.15
cis-nginx-centos-7-v1-1-0-l1                 center-for-internet-security-inc  cis-nginx-centos7-l1                            center-for-internet-security-inc:cis-nginx-centos-7-v1-1-0-l1:cis-nginx-centos7-l1:1.1.16                               1.1.16
cis-nginx-centos-7-v1-1-0-l1                 center-for-internet-security-inc  cis-nginx-centos7-l1                            center-for-internet-security-inc:cis-nginx-centos-7-v1-1-0-l1:cis-nginx-centos7-l1:1.1.17                               1.1.17
docker_centos                                cloud-infrastructure-services     docker_centos                                   cloud-infrastructure-services:docker_centos:docker_centos:0.0.3                                                         0.0.3
cis-postgresql-11-centos-linux-7-level-1     center-for-internet-security-inc  cis-postgresql-11-centos-linux-7-l1             center-for-internet-security-inc:cis-postgresql-11-centos-linux-7-level-1:cis-postgresql-11-centos-linux-7-l1:1.0.14    1.0.14
cis-postgresql-11-centos-linux-7-level-1     center-for-internet-security-inc  cis-postgresql-11-centos-linux-7-l1             center-for-internet-security-inc:cis-postgresql-11-centos-linux-7-level-1:cis-postgresql-11-centos-linux-7-l1:1.0.15    1.0.15
cis-postgresql-11-centos-linux-7-level-1     center-for-internet-security-inc  cis-postgresql-11-centos-linux-7-l1             center-for-internet-security-inc:cis-postgresql-11-centos-linux-7-level-1:cis-postgresql-11-centos-linux-7-l1:1.0.16    1.0.16
squid-centos7-7                              cloud-infrastructure-services     squid-centos-7-7                                cloud-infrastructure-services:squid-centos7-7:squid-centos-7-7:0.0.1                                                    0.0.1
cloudera-centos-6                            cloudera                          cloudera-centos-6                               cloudera:cloudera-centos-6:cloudera-centos-6:1.0.0                                                                      1.0.0
cloudera-centos-6                            cloudera                          cloudera-centos-6                               cloudera:cloudera-centos-6:cloudera-centos-6:8.0.1                                                                      8.0.1
cloudera-centos-6                            cloudera                          cloudera-centos-6                               cloudera:cloudera-centos-6:cloudera-centos-6:8.0.2                                                                      8.0.2
cloudera-centos-6                            cloudera                          cloudera-centos-6                               cloudera:cloudera-centos-6:cloudera-centos-6:9.0.1                                                                      9.0.1
cloudera-centos-6                            cloudera                          cloudera-centos-6                               cloudera:cloudera-centos-6:cloudera-centos-6:9.0.2                                                                      9.0.2
tomcat-centos                                cloud-infrastructure-services     tomcat-centos                                   cloud-infrastructure-services:tomcat-centos:tomcat-centos:0.0.1                                                         0.0.1
cloudera-centos-os                           cloudera                          6_7                                             cloudera:cloudera-centos-os:6_7:1.0.0                                                                                   1.0.0
cloudera-centos-os                           cloudera                          6_7                                             cloudera:cloudera-centos-os:6_7:1.0.1                                                                                   1.0.1
cloudera-centos-os                           cloudera                          6_7                                             cloudera:cloudera-centos-os:6_7:2.0.1                                                                                   2.0.1
cloudera-centos-os                           cloudera                          6_7                                             cloudera:cloudera-centos-os:6_7:2.0.4                                                                                   2.0.4
apache-web-server-with-centos-7-7-cm         cloudmavensolutions               apache-web-server-with-centos-7-7-cm            cloudmavensolutions:apache-web-server-with-centos-7-7-cm:apache-web-server-with-centos-7-7-cm:1.2020.1009               1.2020.1009
cloudera-centos-os                           cloudera                          6_8                                             cloudera:cloudera-centos-os:6_8:1.0.0                                                                                   1.0.0
cloudera-centos-os                           cloudera                          6_8                                             cloudera:cloudera-centos-os:6_8:2.0.1                                                                                   2.0.1
cloudera-centos-os                           cloudera                          6_8                                             cloudera:cloudera-centos-os:6_8:2.0.4                                                                                   2.0.4
palcentoslecvmimage                          cloudsecurity                     palcentoslecvmimage                             cloudsecurity:palcentoslecvmimage:palcentoslecvmimage:1.0.10                                                            1.0.10
palcentoslecvmimage                          cloudsecurity                     palcentoslecvmimage                             cloudsecurity:palcentoslecvmimage:palcentoslecvmimage:1.0.7                                                             1.0.7
palcentoslecvmimage                          cloudsecurity                     palcentoslecvmimage                             cloudsecurity:palcentoslecvmimage:palcentoslecvmimage:1.0.8                                                             1.0.8
palcentoslecvmimage                          cloudsecurity                     palcentoslecvmimage                             cloudsecurity:palcentoslecvmimage:palcentoslecvmimage:1.0.9                                                             1.0.9
webmin-centos-7-8                            cloud-infrastructure-services     webmin-centos-7-8                               cloud-infrastructure-services:webmin-centos-7-8:webmin-centos-7-8:0.0.1                                                 0.0.1
centos-6-10-cm                               cloudmavensolutions               centos-6-10-cm                                  cloudmavensolutions:centos-6-10-cm:centos-6-10-cm:1.2020.0711                                                           1.2020.0711
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:1.0.2                                                                                   1.0.2
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:1.0.5                                                                                   1.0.5
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:1.0.7                                                                                   1.0.7
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:1.0.8                                                                                   1.0.8
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:2.0.3                                                                                   2.0.3
cloudera-centos-os                           cloudera                          7_2                                             cloudera:cloudera-centos-os:7_2:2.0.4                                                                                   2.0.4
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.1                                                   1.0.1
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.2                                                   1.0.2
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.3                                                   1.0.3
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.4                                                   1.0.4
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.5                                                   1.0.5
palcentoslecvmimageindia                     cloudsecurity                     palcentoslecvmimageindia                        cloudsecurity:palcentoslecvmimageindia:palcentoslecvmimageindia:1.0.6                                                   1.0.6
cloudera-centos-os                           cloudera                          7_4                                             cloudera:cloudera-centos-os:7_4:2.0.7                                                                                   2.0.7
apache-web-server-with-centos-7-7-cw         cloudwhizsolutions                apache-web-server-with-centos-77-cw             cloudwhizsolutions:apache-web-server-with-centos-7-7-cw:apache-web-server-with-centos-77-cw:1.2019.1001                 1.2019.1001
centos-7-6-cm                                cloudmavensolutions               centos-7-6-cm                                   cloudmavensolutions:centos-7-6-cm:centos-7-6-cm:1.2020.0711                                                             1.2020.0711
cloudera-centos-os                           cloudera                          7_5                                             cloudera:cloudera-centos-os:7_5:2.0.9                                                                                   2.0.9
palcentoslecvmimagewipfli                    cloudsecurity                     palcentoslecvmimagewipfli                       cloudsecurity:palcentoslecvmimagewipfli:palcentoslecvmimagewipfli:1.0.1                                                 1.0.1
