Offer                                        Publisher                         Sku                                             Urn                                                                                                                     Version
docker-community-edition-with-centos-7-7     cognosys                          docker-community-edition-with-centos-7-7        cognosys:docker-community-edition-with-centos-7-7:docker-community-edition-with-centos-7-7:1.2019.0710                  1.2019.0710
openjre-8-with-centos-7-5-cw                 cloudwhizsolutions                openjre-8-with-centos-7-5-cw                    cloudwhizsolutions:openjre-8-with-centos-7-5-cw:openjre-8-with-centos-7-5-cw:1.2019.1001                                1.2019.1001
openjre-8-with-centos-7-6-cw                 cloudwhizsolutions                openjre-8-with-centos-7-6-cw                    cloudwhizsolutions:openjre-8-with-centos-7-6-cw:openjre-8-with-centos-7-6-cw:1.2019.1001                                1.2019.1001
drupal-with-centos-7-9                       cognosys                          drupal-with-centos-7-9                          cognosys:drupal-with-centos-7-9:drupal-with-centos-7-9:1.2019.1009                                                      1.2019.1009
drupal-with-centos-7-9                       cognosys                          drupal-with-centos-7-9                          cognosys:drupal-with-centos-7-9:drupal-with-centos-7-9:1.2019.1010                                                      1.2019.1010
drupal-with-centos-8-3                       cognosys                          drupal-with-centos-8-3                          cognosys:drupal-with-centos-8-3:drupal-with-centos-8-3:1.2019.1011                                                      1.2019.1011
drupal-with-centos-8-3                       cognosys                          drupal-with-centos-8-3                          cognosys:drupal-with-centos-8-3:drupal-with-centos-8-3:1.2019.1012                                                      1.2019.1012
openjre-8-with-centos-7-7-cw                 cloudwhizsolutions                openjre-8-with-centos-7-7-cw                    cloudwhizsolutions:openjre-8-with-centos-7-7-cw:openjre-8-with-centos-7-7-cw:1.2019.1001                                1.2019.1001
php-with-centos-7-7-cw                       cloudwhizsolutions                php-with-centos-77-cw                           cloudwhizsolutions:php-with-centos-7-7-cw:php-with-centos-77-cw:1.2019.1001                                             1.2019.1001
git-community-edition-with-centos-75         cognosys                          git-community-edition-with-centos-75            cognosys:git-community-edition-with-centos-75:git-community-edition-with-centos-75:1.2019.0711                          1.2019.0711
postgresql-with-centos-7-6-cw                cloudwhizsolutions                postgresql-with-centos-76-cw                    cloudwhizsolutions:postgresql-with-centos-7-6-cw:postgresql-with-centos-76-cw:1.2019.1009                               1.2019.1009
git-community-edition-with-centos-75-free    cognosys                          git-community-edition-with-centos-75-free       cognosys:git-community-edition-with-centos-75-free:git-community-edition-with-centos-75-free:1.2019.0711                1.2019.0711
postgresql-with-centos-7-7-cw                cloudwhizsolutions                postgresql-with-centos-77-cw                    cloudwhizsolutions:postgresql-with-centos-7-7-cw:postgresql-with-centos-77-cw:1.2019.1001                               1.2019.1001
git-community-edition-with-centos-76         cognosys                          git-community-edition-with-centos-76            cognosys:git-community-edition-with-centos-76:git-community-edition-with-centos-76:1.2019.0711                          1.2019.0711
python-3-6-with-centos-7-6-cw                cloudwhizsolutions                python-3-6-with-centos-7-6-cw                   cloudwhizsolutions:python-3-6-with-centos-7-6-cw:python-3-6-with-centos-7-6-cw:1.2019.1008                              1.2019.1008
git-community-edition-with-centos-76-free    cognosys                          git-community-edition-with-centos-76-free       cognosys:git-community-edition-with-centos-76-free:git-community-edition-with-centos-76-free:1.2019.0711                1.2019.0711
python-3-6-with-centos-7-7-cw                cloudwhizsolutions                python-3-6-with-centos-7-7-cw                   cloudwhizsolutions:python-3-6-with-centos-7-7-cw:python-3-6-with-centos-7-7-cw:1.2019.1001                              1.2019.1001
git-community-edition-with-centos-77         cognosys                          git-community-edition-with-centos-77            cognosys:git-community-edition-with-centos-77:git-community-edition-with-centos-77:1.2019.0711                          1.2019.0711
python-3-7-with-centos-7-6-cw                cloudwhizsolutions                python-3-7-with-centos-7-6-cw                   cloudwhizsolutions:python-3-7-with-centos-7-6-cw:python-3-7-with-centos-7-6-cw:1.2019.1001                              1.2019.1001
git-community-edition-with-centos-77-free    cognosys                          git-community-edition-with-centos-77-free       cognosys:git-community-edition-with-centos-77-free:git-community-edition-with-centos-77-free:1.2019.0711                1.2019.0711
python-3-7-with-centos-7-7-cw                cloudwhizsolutions                python-3-7-with-centos-7-7-cw                   cloudwhizsolutions:python-3-7-with-centos-7-7-cw:python-3-7-with-centos-7-7-cw:1.2019.1001                              1.2019.1001
git-community-edition-with-centos-8-1        cognosys                          git-community-edition-with-centos-8-1           cognosys:git-community-edition-with-centos-8-1:git-community-edition-with-centos-8-1:1.2019.0711                        1.2019.0711
python-3-8-with-centos-7-6-cw                cloudwhizsolutions                python-3-8-with-centos-7-6-cw                   cloudwhizsolutions:python-3-8-with-centos-7-6-cw:python-3-8-with-centos-7-6-cw:1.2019.1001                              1.2019.1001
git-community-edition-with-centos-8-2        cognosys                          git-community-edition-with-centos-8-2           cognosys:git-community-edition-with-centos-8-2:git-community-edition-with-centos-8-2:1.2019.0711                        1.2019.0711
haproxy-with-centos-7-9                      cognosys                          haproxy-with-centos-7-9                         cognosys:haproxy-with-centos-7-9:haproxy-with-centos-7-9:1.2019.1009                                                    1.2019.1009
python-3-8-with-centos-7-7-cw                cloudwhizsolutions                python-3-8-with-centos-7-7-cw                   cloudwhizsolutions:python-3-8-with-centos-7-7-cw:python-3-8-with-centos-7-7-cw:1.2019.1001                              1.2019.1001
haproxy-with-centos-8-2                      cognosys                          haproxy-with-centos-8-2                         cognosys:haproxy-with-centos-8-2:haproxy-with-centos-8-2:1.2019.1009                                                    1.2019.1009
r-with-centos-7-5-cw                         cloudwhizsolutions                r-with-centos-7-5-cw                            cloudwhizsolutions:r-with-centos-7-5-cw:r-with-centos-7-5-cw:1.2019.1001                                                1.2019.1001
r-with-centos-7-6-cw                         cloudwhizsolutions                r-with-centos-7-6-cw                            cloudwhizsolutions:r-with-centos-7-6-cw:r-with-centos-7-6-cw:1.2019.1001                                                1.2019.1001
haproxy-with-centos-8-stream                 cognosys                          haproxy-with-centos-8-stream                    cognosys:haproxy-with-centos-8-stream:haproxy-with-centos-8-stream:1.2019.1009                                          1.2019.1009
r-with-centos-7-7-cw                         cloudwhizsolutions                r-with-centos-7-7-cw                            cloudwhizsolutions:r-with-centos-7-7-cw:r-with-centos-7-7-cw:1.2019.1001                                                1.2019.1001
hardened-mysql-5-6-on-centos-7-3             cognosys                          hardened-mysql-5-6-on-centos-7-3                cognosys:hardened-mysql-5-6-on-centos-7-3:hardened-mysql-5-6-on-centos-7-3:1.0.0                                        1.0.0
hardened-mysql-5-7-on-centos-7-3             cognosys                          hardened-mysql-5-7-on-centos-7-3                cognosys:hardened-mysql-5-7-on-centos-7-3:hardened-mysql-5-7-on-centos-7-3:1.0.0                                        1.0.0
redis-with-centos-7-6-cw                     cloudwhizsolutions                redis-with-centos-76-cw                         cloudwhizsolutions:redis-with-centos-7-6-cw:redis-with-centos-76-cw:1.2019.1008                                         1.2019.1008
jenkins-with-centos-7-9                      cognosys                          jenkins-with-centos-7-9                         cognosys:jenkins-with-centos-7-9:jenkins-with-centos-7-9:1.2019.1009                                                    1.2019.1009
redis-with-centos-7-7-cw                     cloudwhizsolutions                redis-with-centos-77-cw                         cloudwhizsolutions:redis-with-centos-7-7-cw:redis-with-centos-77-cw:1.2019.1001                                         1.2019.1001
jenkins-with-centos-75                       cognosys                          jenkins-with-centos-75                          cognosys:jenkins-with-centos-75:jenkins-with-centos-75:1.2019.1009                                                      1.2019.1009
ruby-with-centos-7-5-cw                      cloudwhizsolutions                ruby-2-6-3-with-centos-7-5-cw                   cloudwhizsolutions:ruby-with-centos-7-5-cw:ruby-2-6-3-with-centos-7-5-cw:1.2019.1001                                    1.2019.1001
ruby-with-centos-7-6-cw                      cloudwhizsolutions                ruby-2-6-3-with-centos-7-6-cw                   cloudwhizsolutions:ruby-with-centos-7-6-cw:ruby-2-6-3-with-centos-7-6-cw:1.2019.1001                                    1.2019.1001
jenkins-with-centos-75-free                  cognosys                          jenkins-with-centos-75                          cognosys:jenkins-with-centos-75-free:jenkins-with-centos-75:1.2019.1009                                                 1.2019.1009
ruby-with-centos-7-7-cw                      cloudwhizsolutions                ruby-2-6-3-with-centos-7-7-cw                   cloudwhizsolutions:ruby-with-centos-7-7-cw:ruby-2-6-3-with-centos-7-7-cw:1.2019.1001                                    1.2019.1001
jenkins-with-centos-76                       cognosys                          jenkins-with-centos-76                          cognosys:jenkins-with-centos-76:jenkins-with-centos-76:1.2019.1009                                                      1.2019.1009
linnovate-centos7-supported                  meanio                            linnovate-centos7-supported                     meanio:linnovate-centos7-supported:linnovate-centos7-supported:1.0.0                                                    1.0.0
rvm-ruby-with-centos-7-5-cw                  cloudwhizsolutions                rvm-ruby-with-centos-7-5-cw                     cloudwhizsolutions:rvm-ruby-with-centos-7-5-cw:rvm-ruby-with-centos-7-5-cw:1.2019.1001                                  1.2019.1001
jenkins-with-centos-76-free                  cognosys                          jenkins-with-centos-76-free                     cognosys:jenkins-with-centos-76-free:jenkins-with-centos-76-free:1.2019.1009                                            1.2019.1009
rvm-ruby-with-centos-7-6-cw                  cloudwhizsolutions                rvm-ruby-with-centos-7-6-cw                     cloudwhizsolutions:rvm-ruby-with-centos-7-6-cw:rvm-ruby-with-centos-7-6-cw:1.2019.1001                                  1.2019.1001
jenkins-with-centos-77                       cognosys                          jenkins-with-centos-77                          cognosys:jenkins-with-centos-77:jenkins-with-centos-77:1.2019.1009                                                      1.2019.1009
rvm-ruby-with-centos-7-7-cw                  cloudwhizsolutions                rvm-ruby-with-centos-7-7-cw                     cloudwhizsolutions:rvm-ruby-with-centos-7-7-cw:rvm-ruby-with-centos-7-7-cw:1.2019.1001                                  1.2019.1001
jenkins-with-centos-77-free                  cognosys                          jenkins-with-centos-77-free                     cognosys:jenkins-with-centos-77-free:jenkins-with-centos-77-free:1.2019.1009                                            1.2019.1009
centos-container                             microsoft-azure-batch             7-5                                             microsoft-azure-batch:centos-container:7-5:1.0.3                                                                        1.0.3
centos-container                             microsoft-azure-batch             7-6                                             microsoft-azure-batch:centos-container:7-6:1.0.12                                                                       1.0.12
jenkins-with-centos-8-stream                 cognosys                          jenkins-with-centos-8-stream                    cognosys:jenkins-with-centos-8-stream:jenkins-with-centos-8-stream:1.2019.1009                                          1.2019.1009
wordpress-with-centos-7-6-cw                 cloudwhizsolutions                wordpress-with-centos-76-cw                     cloudwhizsolutions:wordpress-with-centos-7-6-cw:wordpress-with-centos-76-cw:1.2019.1008                                 1.2019.1008
centos-container                             microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container:7-7:1.0.14                                                                       1.0.14
centos-container                             microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container:7-7:1.0.16                                                                       1.0.16
centos-container                             microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container:7-7:1.0.17                                                                       1.0.17
centos-container                             microsoft-azure-batch             8-2                                             microsoft-azure-batch:centos-container:8-2:1.1.0                                                                        1.1.0
wordpress-with-centos-7-7-cw                 cloudwhizsolutions                wordpress-with-centos-77-cw                     cloudwhizsolutions:wordpress-with-centos-7-7-cw:wordpress-with-centos-77-cw:1.2019.1001                                 1.2019.1001
joomla-with-centos-7-9                       cognosys                          joomla-with-centos-7-9                          cognosys:joomla-with-centos-7-9:joomla-with-centos-7-9:1.2019.1011                                                      1.2019.1011
centos-container-rdma                        microsoft-azure-batch             7-6                                             microsoft-azure-batch:centos-container-rdma:7-6:1.0.12                                                                  1.0.12
joomla-with-centos-8-3                       cognosys                          joomla-with-centos-8-3                          cognosys:joomla-with-centos-8-3:joomla-with-centos-8-3:1.2019.1011                                                      1.2019.1011
centos-container-rdma                        microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container-rdma:7-7:1.0.14                                                                  1.0.14
centos-container-rdma                        microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container-rdma:7-7:1.0.16                                                                  1.0.16
centos-container-rdma                        microsoft-azure-batch             7-7                                             microsoft-azure-batch:centos-container-rdma:7-7:1.0.17                                                                  1.0.17
centos-container-rdma                        microsoft-azure-batch             8-1                                             microsoft-azure-batch:centos-container-rdma:8-1:1.1.0                                                                   1.1.0
centos-container-rdma                        microsoft-azure-batch             8-1                                             microsoft-azure-batch:centos-container-rdma:8-1:1.2.0                                                                   1.2.0
lamp-with-centos-7-8                         cognosys                          lamp-with-centos-7-8                            cognosys:lamp-with-centos-7-8:lamp-with-centos-7-8:1.2019.1009                                                          1.2019.1009
lamp-with-centos-7-8-mariadb10               cognosys                          lamp-with-centos-7-8-mariadb10                  cognosys:lamp-with-centos-7-8-mariadb10:lamp-with-centos-7-8-mariadb10:1.2019.1009                                      1.2019.1009
lamp-with-centos-7-9-mariadb10               cognosys                          lamp-with-centos-7-9-mariadb10                  cognosys:lamp-with-centos-7-9-mariadb10:lamp-with-centos-7-9-mariadb10:1.2019.1009                                      1.2019.1009
lamp-with-centos-75                          cognosys                          lamp-with-centos-75                             cognosys:lamp-with-centos-75:lamp-with-centos-75:1.2019.1009                                                            1.2019.1009
lamp-with-centos-75-free                     cognosys                          lamp-with-centos-75-free                        cognosys:lamp-with-centos-75-free:lamp-with-centos-75-free:1.2019.1009                                                  1.2019.1009
lamp-with-centos-76                          cognosys                          lamp-with-centos-76                             cognosys:lamp-with-centos-76:lamp-with-centos-76:1.2019.1009                                                            1.2019.1009
lamp-with-centos-76-free                     cognosys                          lamp-with-centos-76-free                        cognosys:lamp-with-centos-76-free:lamp-with-centos-76-free:1.2019.1009                                                  1.2019.1009
lamp-with-centos-77                          cognosys                          lamp-with-centos-77                             cognosys:lamp-with-centos-77:lamp-with-centos-77:1.2019.1009                                                            1.2019.1009
lamp-with-centos-77-free                     cognosys                          lamp-with-centos-77-free                        cognosys:lamp-with-centos-77-free:lamp-with-centos-77-free:1.2019.1009                                                  1.2019.1009
lamp-with-centos-8-2                         cognosys                          lamp-with-centos-8-2                            cognosys:lamp-with-centos-8-2:lamp-with-centos-8-2:1.2019.1009                                                          1.2019.1009
lamp-with-centos-8-3                         cognosys                          lamp-with-centos-8-3                            cognosys:lamp-with-centos-8-3:lamp-with-centos-8-3:1.2019.1010                                                          1.2019.1010
lamp-with-centos-8-stream                    cognosys                          lamp-with-centos-8-stream                       cognosys:lamp-with-centos-8-stream:lamp-with-centos-8-stream:1.2019.1010                                                1.2019.1010
mariadb-10-with-centos-7-8                   cognosys                          mariadb-10-with-centos-7-8                      cognosys:mariadb-10-with-centos-7-8:mariadb-10-with-centos-7-8:1.2019.1009                                              1.2019.1009
mariadb-10-with-centos-7-9                   cognosys                          mariadb-10-with-centos-7-9                      cognosys:mariadb-10-with-centos-7-9:mariadb-10-with-centos-7-9:1.2019.1009                                              1.2019.1009
mariadb-10-with-centos-8-2                   cognosys                          mariadb-10-with-centos-8-2                      cognosys:mariadb-10-with-centos-8-2:mariadb-10-with-centos-8-2:1.2019.1009                                              1.2019.1009
mariadb-10-with-centos-8-3                   cognosys                          mariadb-10-with-centos-8-3                      cognosys:mariadb-10-with-centos-8-3:mariadb-10-with-centos-8-3:1.2019.1009                                              1.2019.1009
mariadb-10-with-centos-8-stream              cognosys                          mariadb-10-with-centos-8-stream                 cognosys:mariadb-10-with-centos-8-stream:mariadb-10-with-centos-8-stream:1.2019.1009                                    1.2019.1009
mautic-with-centos-8-2                       cognosys                          mautic-with-centos-8-2                          cognosys:mautic-with-centos-8-2:mautic-with-centos-8-2:1.2019.1009                                                      1.2019.1009
mediawiki-with-centos-8-2                    cognosys                          mediawiki-with-centos-8-2                       cognosys:mediawiki-with-centos-8-2:mediawiki-with-centos-8-2:1.2019.1009                                                1.2019.1009
moodle-with-centos-7-8                       cognosys                          moodle-with-centos-7-8                          cognosys:moodle-with-centos-7-8:moodle-with-centos-7-8:1.2019.1011                                                      1.2019.1011
moodle-with-centos-7-9                       cognosys                          moodle-with-centos-7-9                          cognosys:moodle-with-centos-7-9:moodle-with-centos-7-9:1.2019.1011                                                      1.2019.1011
mysql-5-7-with-centos-7-8                    cognosys                          mysql-5-7-with-centos-7-8                       cognosys:mysql-5-7-with-centos-7-8:mysql-5-7-with-centos-7-8:1.2019.1009                                                1.2019.1009
mysql-5-7-with-centos-7-9                    cognosys                          mysql-5-7-with-centos-7-9                       cognosys:mysql-5-7-with-centos-7-9:mysql-5-7-with-centos-7-9:1.2019.1009                                                1.2019.1009
mysql-57-with-centos-75                      cognosys                          mysql-57-with-centos-75                         cognosys:mysql-57-with-centos-75:mysql-57-with-centos-75:1.2019.1011                                                    1.2019.1011
mysql-57-with-centos-75-free                 cognosys                          mysql-57-with-centos-75-free                    cognosys:mysql-57-with-centos-75-free:mysql-57-with-centos-75-free:1.2019.1009                                          1.2019.1009
mysql-57-with-centos-76                      cognosys                          mysql-57-with-centos-76                         cognosys:mysql-57-with-centos-76:mysql-57-with-centos-76:1.2019.1010                                                    1.2019.1010
mysql-57-with-centos-76-free                 cognosys                          mysql-57-with-centos-76-free                    cognosys:mysql-57-with-centos-76-free:mysql-57-with-centos-76-free:1.2019.1009                                          1.2019.1009
mysql-57-with-centos-77                      cognosys                          mysql-57-with-centos-77                         cognosys:mysql-57-with-centos-77:mysql-57-with-centos-77:1.2019.1009                                                    1.2019.1009
mysql-57-with-centos-77                      cognosys                          mysql-57-with-centos-77                         cognosys:mysql-57-with-centos-77:mysql-57-with-centos-77:1.2019.1010                                                    1.2019.1010
mysql-57-with-centos-77-free                 cognosys                          mysql-57-with-centos-77                         cognosys:mysql-57-with-centos-77-free:mysql-57-with-centos-77:1.2019.1009                                               1.2019.1009
mysql-8-with-centos-8-2                      cognosys                          mysql-8-with-centos-8-2                         cognosys:mysql-8-with-centos-8-2:mysql-8-with-centos-8-2:1.2019.1009                                                    1.2019.1009
nginx-with-centos-7-8                        cognosys                          nginx-with-centos-7-8                           cognosys:nginx-with-centos-7-8:nginx-with-centos-7-8:1.2019.1009                                                        1.2019.1009
nginx-with-centos-7-9                        cognosys                          nginx-with-centos-7-9                           cognosys:nginx-with-centos-7-9:nginx-with-centos-7-9:1.2019.1009                                                        1.2019.1009
nginx-with-centos-75                         cognosys                          nginx-with-centos-75                            cognosys:nginx-with-centos-75:nginx-with-centos-75:1.2019.1009                                                          1.2019.1009
nginx-with-centos-75-free                    cognosys                          nginx-with-centos-75-free                       cognosys:nginx-with-centos-75-free:nginx-with-centos-75-free:1.2019.1009                                                1.2019.1009
nginx-with-centos-76                         cognosys                          nginx-with-centos-76                            cognosys:nginx-with-centos-76:nginx-with-centos-76:1.2019.1011                                                          1.2019.1011
nginx-with-centos-76-free                    cognosys                          nginx-with-centos-76-free                       cognosys:nginx-with-centos-76-free:nginx-with-centos-76-free:1.2019.1009                                                1.2019.1009
nginx-with-centos-77                         cognosys                          nginx-with-centos-77                            cognosys:nginx-with-centos-77:nginx-with-centos-77:1.2019.1009                                                          1.2019.1009
nginx-with-centos-77-free                    cognosys                          nginx-with-centos-77-free                       cognosys:nginx-with-centos-77-free:nginx-with-centos-77-free:1.2019.1009                                                1.2019.1009
nginx-with-centos-8-1                        cognosys                          nginx-with-centos-8-1                           cognosys:nginx-with-centos-8-1:nginx-with-centos-8-1:1.2019.1009                                                        1.2019.1009
nginx-with-centos-8-2                        cognosys                          nginx-with-centos-8-2                           cognosys:nginx-with-centos-8-2:nginx-with-centos-8-2:1.2019.1009                                                        1.2019.1009
nginx-with-centos-8-stream                   cognosys                          nginx-with-centos-8-stream                      cognosys:nginx-with-centos-8-stream:nginx-with-centos-8-stream:1.2019.1009                                              1.2019.1009
nodejs-10-with-centos-7-5                    cognosys                          nodejs-10-with-centos-7-5                       cognosys:nodejs-10-with-centos-7-5:nodejs-10-with-centos-7-5:1.2019.1009                                                1.2019.1009
nodejs-10-with-centos-7-5                    cognosys                          nodejs-10-with-centos-7-5                       cognosys:nodejs-10-with-centos-7-5:nodejs-10-with-centos-7-5:1.2019.1010                                                1.2019.1010
nodejs-10-with-centos-7-6                    cognosys                          nodejs-10-with-centos-7-6                       cognosys:nodejs-10-with-centos-7-6:nodejs-10-with-centos-7-6:1.2019.1009                                                1.2019.1009
nodejs-10-with-centos-7-6                    cognosys                          nodejs-10-with-centos-7-6                       cognosys:nodejs-10-with-centos-7-6:nodejs-10-with-centos-7-6:1.2019.1010                                                1.2019.1010
nodejs-10-with-centos-7-7                    cognosys                          nodejs-10-with-centos-7-7                       cognosys:nodejs-10-with-centos-7-7:nodejs-10-with-centos-7-7:1.2019.1009                                                1.2019.1009
nodejs-10-with-centos-7-7                    cognosys                          nodejs-10-with-centos-7-7                       cognosys:nodejs-10-with-centos-7-7:nodejs-10-with-centos-7-7:1.2019.1010                                                1.2019.1010
nodejs-10-with-centos-75-free                cognosys                          nodejs-10-with-centos-75-free                   cognosys:nodejs-10-with-centos-75-free:nodejs-10-with-centos-75-free:1.2019.1009                                        1.2019.1009
MLServer-CentOS                              MicrosoftRServer                  Enterprise                                      MicrosoftRServer:MLServer-CentOS:Enterprise:9.3.026060001                                                               9.3.026060001
MLServer-CentOS                              MicrosoftRServer                  Enterprise                                      MicrosoftRServer:MLServer-CentOS:Enterprise:9.3.026080002                                                               9.3.026080002
nodejs-10-with-centos-76-free                cognosys                          nodejs-10-with-centos-76-free                   cognosys:nodejs-10-with-centos-76-free:nodejs-10-with-centos-76-free:1.2019.1009                                        1.2019.1009
RServer-CentOS                               MicrosoftRServer                  Enterprise                                      MicrosoftRServer:RServer-CentOS:Enterprise:9.1.00002                                                                    9.1.00002
nodejs-10-with-centos-77-free                cognosys                          nodejs-10-with-centos-77-free                   cognosys:nodejs-10-with-centos-77-free:nodejs-10-with-centos-77-free:1.2019.1009                                        1.2019.1009
nodejs-10-with-centos-8-2                    cognosys                          nodejs-10-with-centos-8-2                       cognosys:nodejs-10-with-centos-8-2:nodejs-10-with-centos-8-2:1.2019.1010                                                1.2019.1010
nodejs-12-with-centos-7-5                    cognosys                          nodejs-12-with-centos-7-5                       cognosys:nodejs-12-with-centos-7-5:nodejs-12-with-centos-7-5:1.2019.1008                                                1.2019.1008
nodejs-12-with-centos-7-6                    cognosys                          nodejs-12-with-centos-7-6                       cognosys:nodejs-12-with-centos-7-6:nodejs-12-with-centos-7-6:1.2019.1009                                                1.2019.1009
nodejs-12-with-centos-7-6                    cognosys                          nodejs-12-with-centos-7-6                       cognosys:nodejs-12-with-centos-7-6:nodejs-12-with-centos-7-6:1.2019.1010                                                1.2019.1010
nodejs-12-with-centos-7-7                    cognosys                          nodejs-12-with-centos-7-7                       cognosys:nodejs-12-with-centos-7-7:nodejs-12-with-centos-7-7:1.2019.1008                                                1.2019.1008
nodejs-12-with-centos-7-7                    cognosys                          nodejs-12-with-centos-7-7                       cognosys:nodejs-12-with-centos-7-7:nodejs-12-with-centos-7-7:1.2019.1010                                                1.2019.1010
nodejs-12-with-centos-7-8                    cognosys                          nodejs-12-with-centos-7-8                       cognosys:nodejs-12-with-centos-7-8:nodejs-12-with-centos-7-8:1.2019.1010                                                1.2019.1010
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:4.19.0                                                                                     4.19.0
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:6.0.1                                                                                      6.0.1
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:6.1.0                                                                                      6.1.0
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:7.1.0                                                                                      7.1.0
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:7.2.0                                                                                      7.2.0
centos                                       netfoundryinc                     gateway                                         netfoundryinc:centos:gateway:7.3.0                                                                                      7.3.0
nodejs-12-with-centos-7-9                    cognosys                          nodejs-12-with-centos-7-9                       cognosys:nodejs-12-with-centos-7-9:nodejs-12-with-centos-7-9:1.2019.1010                                                1.2019.1010
nodejs-12-with-centos-75                     cognosys                          nodejs-12-with-centos-75                        cognosys:nodejs-12-with-centos-75:nodejs-12-with-centos-75:1.2019.1009                                                  1.2019.1009
nodejs-12-with-centos-75                     cognosys                          nodejs-12-with-centos-75                        cognosys:nodejs-12-with-centos-75:nodejs-12-with-centos-75:1.2019.1010                                                  1.2019.1010
nodejs-12-with-centos-75-free                cognosys                          nodejs-12-with-centos-75-free                   cognosys:nodejs-12-with-centos-75-free:nodejs-12-with-centos-75-free:1.2019.1008                                        1.2019.1008
nodejs-12-with-centos-76                     cognosys                          nodejs-12-with-centos-76                        cognosys:nodejs-12-with-centos-76:nodejs-12-with-centos-76:1.2019.1009                                                  1.2019.1009
centos6                                      northbridge-secure                centos                                          northbridge-secure:centos6:centos:0.6.8                                                                                 0.6.8
nodejs-12-with-centos-77-free                cognosys                          nodejs-12-with-centos-77-free                   cognosys:nodejs-12-with-centos-77-free:nodejs-12-with-centos-77-free:1.2019.1008                                        1.2019.1008
centos610                                    northbridge-secure                centos610                                       northbridge-secure:centos610:centos610:0.6.10                                                                           0.6.10
nodejs-12-with-centos-8-2                    cognosys                          nodejs-12-with-centos-8-2                       cognosys:nodejs-12-with-centos-8-2:nodejs-12-with-centos-8-2:1.2019.1010                                                1.2019.1010
centos7                                      northbridge-secure                centos7                                         northbridge-secure:centos7:centos7:00.7.4                                                                               00.7.4
nodejs-14-with-centos-7-8                    cognosys                          nodejs-14-with-centos-7-8                       cognosys:nodejs-14-with-centos-7-8:nodejs-14-with-centos-7-8:1.2019.1010                                                1.2019.1010
centos75                                     northbridge-secure                centos75                                        northbridge-secure:centos75:centos75:0.7.5                                                                              0.7.5
nodejs-14-with-centos-7-9                    cognosys                          nodejs-14-with-centos-7-9                       cognosys:nodejs-14-with-centos-7-9:nodejs-14-with-centos-7-9:1.2019.1010                                                1.2019.1010
nodejs-14-with-centos-8-2                    cognosys                          nodejs-14-with-centos-8-2                       cognosys:nodejs-14-with-centos-8-2:nodejs-14-with-centos-8-2:1.2019.1010                                                1.2019.1010
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20180709                                                                                     6.10.20180709
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20180803                                                                                     6.10.20180803
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20180822                                                                                     6.10.20180822
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20181012                                                                                     6.10.20181012
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20190708                                                                                     6.10.20190708
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.20190808                                                                                     6.10.20190808
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.201912090                                                                                    6.10.201912090
CentOS                                       OpenLogic                         6.10                                            OpenLogic:CentOS:6.10:6.10.2020042900                                                                                   6.10.2020042900
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.201501                                                                                         6.5.201501
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.201503                                                                                         6.5.201503
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.201506                                                                                         6.5.201506
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.20150904                                                                                       6.5.20150904
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.20160309                                                                                       6.5.20160309
CentOS                                       OpenLogic                         6.5                                             OpenLogic:CentOS:6.5:6.5.20170207                                                                                       6.5.20170207
openjdk-11-with-centos-7-6                   cognosys                          openjdk-11-with-centos-7-6                      cognosys:openjdk-11-with-centos-7-6:openjdk-11-with-centos-7-6:1.2019.1001                                              1.2019.1001
CentOS                                       OpenLogic                         6.6                                             OpenLogic:CentOS:6.6:6.6.201501                                                                                         6.6.201501
CentOS                                       OpenLogic                         6.6                                             OpenLogic:CentOS:6.6:6.6.201503                                                                                         6.6.201503
CentOS                                       OpenLogic                         6.6                                             OpenLogic:CentOS:6.6:6.6.201506                                                                                         6.6.201506
